(0, 0)
(0.5017910003662109, 7)
(1.0228989124298096, 43)
(1.540693998336792, 51)
(2.0603549480438232, 8)
(2.574018955230713, 8)
(3.0876870155334473, 6)
(3.6115570068359375, 28)
(4.132159948348999, 2)
(4.657878875732422, 2)
(5.165562868118286, 2)
(5.681259870529175, 2)
(6.192414999008179, 0)
(6.707281827926636, 7)
(7.215881824493408, 17)
(7.756358861923218, 41)
(8.267809867858887, 52)
(8.784741878509521, 50)
(9.292762994766235, 21)
(9.817539930343628, 48)
(10.346256017684937, 62)
(10.863236904144287, 117)
(11.373490810394287, 11)
(11.88361382484436, 9)
(12.401431798934937, 9)
(12.910130977630615, 16)
(13.417344808578491, 4)
(13.927793979644775, 22)
(14.443890810012817, 11)
(14.97298288345337, 11)
(15.49738597869873, 31)
(16.018073797225952, 11)
(16.54473900794983, 8)
(17.060065031051636, 6)
(17.576992988586426, 5)
(18.10524892807007, 6)
(18.644733905792236, 53)
(19.171936988830566, 43)
(19.679658889770508, 63)
(20.186996936798096, 109)
(20.70437502861023, 125)
(21.226256847381592, 75)
(21.735745906829834, 45)
(22.253674030303955, 49)
(22.77728581428528, 57)
(23.296588897705078, 20)
(23.813145875930786, 5)
(24.323978900909424, 4)
(24.832087993621826, 4)
(25.34435200691223, 2)
(25.855264902114868, 10)
(26.36758589744568, 33)
(26.877100944519043, 57)
(27.39216899871826, 52)
(27.90029501914978, 49)
(28.407066822052002, 49)
(28.91484785079956, 44)
(29.42367196083069, 74)
(29.93675994873047, 41)
(30.444588899612427, 39)
(30.964864015579224, 62)
(31.4893798828125, 60)
(32.01521587371826, 45)
(32.534300804138184, 73)
(33.053165912628174, 95)
(33.56408095359802, 91)
(34.07509684562683, 80)
(34.59330201148987, 11)
(35.10175085067749, 8)
(35.609012842178345, 6)
(36.11750102043152, 20)
(36.624788999557495, 5)
(37.136934995651245, 15)
(37.647828817367554, 7)
(38.157516956329346, 6)
(38.66599202156067, 4)
(39.17569589614868, 9)
(39.69278383255005, 2)
(40.21206498146057, 6)
(40.75934290885925, 11)
(41.27580380439758, 4)
(41.79163098335266, 2)
(42.31111192703247, 2)
(42.829386949539185, 14)
(43.346863985061646, 2)
(43.8640079498291, 2)
(44.37966799736023, 2)
(44.89884090423584, 2)
(45.420257806777954, 0)
(45.934839963912964, 0)
(46.44945788383484, 0)
(46.968607902526855, 0)
(47.48325991630554, 0)
(48.02276086807251, 0)
(48.5398108959198, 16)
(49.056532859802246, 10)
(49.57563591003418, 8)
(50.09483981132507, 40)
(50.61175084114075, 18)
(51.12920880317688, 6)
(51.650681018829346, 11)
(52.1663179397583, 41)
(52.68812584877014, 49)
(53.203364849090576, 83)
(53.719074010849, 84)
(54.23755502700806, 83)
(54.75342893600464, 60)
(55.27158784866333, 47)
(55.78607392311096, 48)
(56.30430793762207, 49)
(56.82383489608765, 23)
(57.33964490890503, 16)
(57.85693693161011, 22)
(58.37700581550598, 53)
(58.890146017074585, 79)
(59.41050696372986, 50)
(59.92786192893982, 48)
(60.44622588157654, 46)
(60.96340489387512, 85)
(61.483054876327515, 51)
(61.99107384681702, 26)
(62.51129698753357, 2)
(63.03155493736267, 2)
(63.54914402961731, 2)
(64.06745290756226, 9)
(64.58841681480408, 40)
(65.10864782333374, 48)
(65.63573884963989, 80)
(66.1575608253479, 66)
(66.67769289016724, 19)
(67.19522190093994, 10)
(67.71413493156433, 10)
(68.2298858165741, 9)
(68.76020503044128, 2)
(69.27915596961975, 0)
(69.79253888130188, 0)
(70.30870199203491, 5)
(70.82348990440369, 3)
(71.33871388435364, 8)
(71.85726594924927, 4)
(72.37731885910034, 15)
(72.89481997489929, 23)
(73.4098129272461, 12)
(73.92558479309082, 14)
(74.44120979309082, 8)
(74.95908880233765, 26)
