Source,Destination,Size,Arrival Time,Flow ID
13.225.253.142,13.33.80.18,61,0,0
165.1.164.160,13.249.160.132,3850,1.0402120823840273,1
23.251.250.254,143.204.225.124,100,1.7500672768867207,2
52.129.105.131,144.220.78.210,1400,2.268624875079889,3
70.132.50.7,52.218.199.181,113,2.8194447990455367,4
3.5.144.144,143.204.193.205,4253,3.8264764356287837,5
52.85.141.248,70.132.18.135,74,5.912205389141844,6
204.246.188.212,13.33.191.149,1450,6.324855749178664,7
65.9.142.88,13.249.162.79,51,7.092448035972002,8
54.192.159.143,13.225.111.179,2533,9.551109356475296,9
176.221.83.102,52.84.134.66,5376,9.554086941242293,10
54.182.229.236,13.33.129.125,6705,9.607753832817597,11
146.133.124.38,129.41.175.153,109,12.88501839803703,12
165.225.101.158,99.78.160.236,93,13.81938868842528,13
52.84.54.10,70.132.20.219,63,14.843206222592299,14
13.226.117.78,13.33.119.123,187,18.164040495823834,15
65.9.43.135,54.192.117.228,1979,19.616290014384816,16
54.240.187.37,15.177.15.144,4042,20.407173820395446,17
67.226.220.87,54.192.98.52,113,22.700099304888454,18
52.85.10.82,13.35.65.192,90,23.61312455642149,19
15.253.42.161,103.136.10.167,378,24.150189533680777,20
34.217.140.49,52.95.134.4,61,26.134026699916618,21
185.68.59.200,52.94.7.75,4749,30.79397545545766,22
206.225.203.206,165.225.101.147,70,32.66675526249191,23
144.220.60.212,99.77.147.220,154,32.880325797471826,24
216.198.17.122,54.182.133.37,5757,33.02722168429639,25
71.152.32.4,69.187.71.201,1425,34.07371665586203,26
130.176.5.9,65.9.149.79,219,34.48909452272783,27
216.238.190.103,13.225.27.8,3518,34.77712821770757,28
54.240.230.91,104.207.173.120,4487,35.03848881289761,29
78.108.125.150,143.204.49.255,239,35.399820636929334,30
54.181.113.244,88.218.222.192,53,36.13776165539495,31
52.95.214.33,99.83.198.74,113,36.512974810809844,32
13.224.83.240,104.192.141.224,62,36.533280871543695,33
15.177.81.52,142.202.37.22,113,36.92736838806555,34
99.150.95.182,52.94.206.106,2192,37.064612608209,35
54.240.61.174,54.239.144.66,239,39.34706271677664,36
176.110.104.81,103.246.251.234,673,41.177886962836205,37
52.197.23.109,168.149.243.56,443,41.54730091813132,38
146.133.127.120,99.86.10.116,239,43.63182546385195,39
54.182.201.44,46.51.190.88,145,43.853115077552836,40
99.77.190.188,54.182.215.18,109,44.5339957068266,41
13.227.118.203,130.176.67.82,145,45.90376122529609,42
15.177.86.32,13.33.252.253,81,48.89276967710489,43
64.252.98.139,13.249.33.38,1844,49.138707465030265,44
13.225.203.71,130.176.20.30,67,51.09467437754178,45
54.239.131.135,52.84.252.157,113,52.22141688447592,46
104.207.170.255,13.227.7.212,145,52.327436309384154,47
103.147.71.225,23.251.246.218,67,55.010763136239866,48
99.86.118.106,130.176.158.162,239,58.34694323973417,49
99.84.96.224,130.176.53.80,52,59.780589646796926,50
52.124.180.45,66.178.136.188,1476,60.25958151156313,51
52.92.74.207,130.176.67.183,72,61.61086005469386,52
13.249.160.24,54.239.14.231,138,64.03579877978504,53
